id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
14279,591,1774346170660944030,1774346170660953975,1774346170665392828,1774346170665430581,0.010,4.439,4.487,200,3
14280,592,1774346170670414856,1774346170670422616,1774346170674050836,1774346170674090637,0.008,3.628,3.676,200,3
14281,594,1774346170677099460,1774346170677108919,1774346170683768408,1774346170684227682,0.009,6.660,7.128,200,3
14282,593,1774346170685289917,1774346170685295332,1774346170686307240,1774346170686322453,0.005,1.012,1.033,200,3
14283,596,1774346170687947582,1774346170687954941,1774346170694580054,1774346170694615548,0.007,6.625,6.668,200,3
14284,595,1774346170695609809,1774346170696002647,1774346170700159461,1774346170700194892,0.393,4.157,4.585,200,3
14285,598,1774346170700723137,1774346170700727782,1774346170701301678,1774346170701314009,0.005,0.574,0.591,200,3
14286,597,1774346170701531933,1774346170701536113,1774346170705012129,1774346170705047274,0.004,3.476,3.515,200,3
14287,599,1774346170705615648,1774346170705620146,1774346170706275607,1774346170706290915,0.004,0.655,0.675,200,3
14288,600,1774346170719751797,1774346170719759007,1774346170721726975,1774346170721750950,0.007,1.968,1.999,200,3
14289,601,1774346170727350274,1774346170727358203,1774346170728800828,1774346170728823494,0.008,1.443,1.473,200,3
14290,602,1774346170742641482,1774346170742650920,1774346170746100764,1774346170746139837,0.009,3.450,3.498,200,3
14291,603,1774346170754294394,1774346170754301468,1774346170758010779,1774346170758048447,0.007,3.709,3.754,200,3
14292,604,1774346170761922806,1774346170761931759,1774346170763077459,1774346170763100115,0.009,1.146,1.177,200,3
14293,605,1774346170763536428,1774346170763540577,1774346170764437368,1774346170764463085,0.004,0.897,0.927,200,3
14294,606,1774346170766767096,1774346170766774096,1774346170767622534,1774346170767641991,0.007,0.848,0.875,200,3
14295,607,1774346170847130954,1774346170847139938,1774346170847713401,1774346170847731201,0.009,0.574,0.600,200,3
14296,608,1774346170856842350,1774346170856850479,1774346170858478902,1774346170858513783,0.008,1.628,1.672,200,3
14298,610,1774346170872473272,1774346170873002352,1774346170874443552,1774346170874506853,0.529,1.441,2.034,200,3
14297,609,1774346170861946768,1774346170862060301,1774346170872994772,1774346170875201197,0.114,10.934,13.254,200,3
14299,612,1774346170889519091,1774346170889527083,1774346170893808732,1774346170894121814,0.008,4.282,4.603,200,3
14300,611,1774346170895772883,1774346170895782733,1774346170901021993,1774346170901143455,0.010,5.239,5.371,200,3
14301,614,1774346170902573949,1774346170902580907,1774346170905265187,1774346170905298971,0.007,2.684,2.725,200,3
14302,613,1774346170905623809,1774346170905628200,1774346170906708931,1774346170906728927,0.004,1.081,1.105,200,3
14303,616,1774346170907447447,1774346170907452356,1774346170917982265,1774346170918023027,0.005,10.530,10.576,200,3
14304,615,1774346170918422885,1774346170918427847,1774346170919915145,1774346170919942774,0.005,1.487,1.520,200,3
14305,617,1774346170922548286,1774346170922555803,1774346170923325694,1774346170923344508,0.008,0.770,0.796,200,3
14306,618,1774346170940704543,1774346170940716473,1774346170943041235,1774346170943069264,0.012,2.325,2.365,200,3
14307,621,1774346170953541019,1774346170953554902,1774346170954082942,1774346170954104816,0.014,0.528,0.564,200,3
14308,622,1774346170958775197,1774346170958783484,1774346170961748315,1774346170961781665,0.008,2.965,3.007,200,3
14309,620,1774346170962128958,1774346170962135420,1774346170963768730,1774346170963800835,0.006,1.633,1.672,200,3
14310,623,1774346170964249922,1774346170964254799,1774346170965320444,1774346170965372544,0.005,1.066,1.123,200,3
14311,624,1774346170966389783,1774346170966395695,1774346170967464454,1774346170967481810,0.006,1.069,1.092,200,3
14312,619,1774346170967763627,1774346170967767755,1774346170968246603,1774346170968262407,0.004,0.479,0.499,200,3
14313,628,1774346170968823381,1774346170968826791,1774346170979859492,1774346170980051877,0.003,11.033,11.229,200,3
14314,626,1774346170982287145,1774346170982294430,1774346170983327420,1774346170983347089,0.007,1.033,1.060,200,3
14320,631,1774346171004169410,1774346171016470588,1774346171017629707,1774346171017661790,12.301,1.159,13.492,200,3
14315,625,1774346170985699026,1774346170987529964,1774346171004431558,1774346171018351500,1.831,16.902,32.653,200,3
14316,632,1774346171003033612,1774346171004439688,1774346171007738689,1774346171018521747,1.406,3.299,15.488,200,3
14317,627,1774346171003166919,1774346171007762116,1774346171009372158,1774346171018788805,4.595,1.610,15.622,200,3
14318,629,1774346171003207618,1774346171009383750,1774346171010166406,1774346171020749387,6.176,0.783,17.542,200,3
14319,630,1774346171003302475,1774346171010172360,1774346171016450645,1774346171021565583,6.870,6.278,18.263,200,3
14321,633,1774346171026848820,1774346171026858184,1774346171027351612,1774346171027369147,0.009,0.494,0.520,200,3
14322,634,1774346171029321131,1774346171029384665,1774346171031479790,1774346171031507070,0.064,2.095,2.186,200,3
14323,635,1774346171038489205,1774346171038496754,1774346171039176412,1774346171039189672,0.008,0.680,0.701,200,3
14324,636,1774346171047199265,1774346171047205463,1774346171049490043,1774346171049519984,0.006,2.285,2.321,200,3
14325,637,1774346171054467769,1774346171054475402,1774346171055355111,1774346171055370546,0.008,0.880,0.903,200,3
14326,638,1774346171060693377,1774346171060748085,1774346171061883725,1774346171061949159,0.055,1.136,1.256,200,3
14327,639,1774346171065797256,1774346171065804974,1774346171067067322,1774346171067086726,0.008,1.262,1.290,200,3
14329,642,1774346171080575987,1774346171080583779,1774346171083424403,1774346171083450806,0.008,2.841,2.875,200,3
14328,640,1774346171067512693,1774346171067517898,1774346171079360440,1774346171084623407,0.005,11.843,17.111,200,3
14330,641,1774346171085231878,1774346171085238550,1774346171085705679,1774346171085726044,0.007,0.467,0.494,200,3
14331,645,1774346171088203724,1774346171088210807,1774346171090248980,1774346171090269050,0.007,2.038,2.065,200,3
14332,643,1774346171090626298,1774346171090637838,1774346171091439423,1774346171091454139,0.012,0.802,0.828,200,3
14333,644,1774346171091798920,1774346171091803576,1774346171095799207,1774346171095834859,0.005,3.996,4.036,200,3
14334,646,1774346171100173396,1774346171100180702,1774346171101349217,1774346171101367681,0.007,1.169,1.194,200,3
14335,647,1774346171104930194,1774346171104938925,1774346171105580693,1774346171105600329,0.009,0.642,0.670,200,3
14336,648,1774346171110430431,1774346171110500113,1774346171111961241,1774346171112608620,0.070,1.461,2.178,200,3
14337,650,1774346171116527805,1774346171116535765,1774346171118092673,1774346171118116163,0.008,1.557,1.588,200,3
14338,649,1774346171118558926,1774346171118564015,1774346171119596013,1774346171119615723,0.005,1.032,1.057,200,3
